Data Center,Company,White space,Gross power
Phoenix,EdgeConneX,798 m²,-
Pittsburgh,EdgeConneX,464 m²,-
Portland,EdgeConneX,557 m²,-
Richmond,EdgeConneX,700 m²,-
Sacramento,EdgeConneX,622 m²,-
Salt Lake City,EdgeConneX,500 m²,-
San Diego,EdgeConneX,-,-
Seattle,EdgeConneX,600 m²,-
Tallahassee,EdgeConneX,399 m²,-
Durham,Emerging Markets Communications (EMC),-,-
Nexus Management,EnablesIT,-,-
ENGUARD Data Center,Enguard,-,-
Chicago (CHI2),Enseva,-,1050 kW
Dubuque,Enseva,-,-
Hiawatha,Enseva,-,-
Infocrossing,Ensono,-,-
Infocrossing,Ensono,-,-
Kings Mountain,Ensono,-,-
Enterhost,Enterhost,-,-
Enterprise Cloud Computing Center EC3,Enterprise Cloud Computing Center EC3,-,-
Atlanta 1,Equinix,3996 m²,-
Atlanta 4,Equinix,-,-
Atlanta 5,Equinix,-,-
Boston 1,Equinix,1235 m²,-
Boston 2,Equinix,7060 m²,-
Boston 2,Equinix,-,-
Chicago 1,Equinix,4737 m²,-
Chicago 2,Equinix,5468 m²,-
Chicago 3,Equinix,10633 m²,-
Chicago 4,Equinix,1781 m²,-
Culpeper 1,Equinix,-,-
Culpeper 2,Equinix,-,-
Culpeper 3,Equinix,-,-
Culpeper 4,Equinix,-,-
Dallas 1,Equinix,2820 m²,2000 kW
Dallas 2,Equinix,2280 m²,-
Dallas 3,Equinix,876 m²,-
Dallas 6,Equinix,7710 m²,-
Dallas 9,Equinix,-,-
Denver,Equinix,1125 m²,-
Denver,Equinix,-,-
Denver 2,Equinix,-,-
